"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";
"1";"";"CAT24C256";"SOIC8";"U$1";"";"";"";"";"";"";
"1";"";"FE05-2";"FE05-2";"P6";"FEMALE HEADER";"";"";"unknown";"unknown";"";
"2";"";"FE23-2";"FE23-2";"P8, P9";"FEMALE HEADER";"";"";"unknown";"unknown";"";
"4";"";"HOLE";"HOLE";"H1, H2, H3, H4";"";"";"";"";"";"";
"3";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1, LED2, LED3";"LED";"";"";"";"";"";
"1";"";"LP3985";"SOT23-5";"U$10";"";"";"";"";"";"";
"1";"";"LSM303DLHC";"LGA14";"U$5";"";"";"";"";"";"";
"1";"";"LSM330DLC";"LGA28-4X5";"U$7";"";"";"";"";"";"";
"1";"";"LSM333D";"LGA28";"U$8";"";"";"";"";"";"";
"27";"";"R-US_R0402";"R0402";"R6, R8, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R36, R37, R38";"RESISTOR, American symbol";"";"";"";"";"";
"1";"";"SN74LVC1T45";"SOT23-6";"U$4";"";"";"";"";"";"";
"1";"";"SN74LVCH16T245";"TSSOP48";"U$13";"";"";"";"";"";"";
"1";"";"TPS799XX";"SOT23-5";"U$12";"";"";"";"";"";"";
"14";"0.1u";"C-EUC0603";"C0603";"C1, C2, C3, C6, C9, C10, C14, C15, C23, C24, C25, C26, C27, C28";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"0.22u";"C-EUC0603";"C0603";"C7, C11";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"10K";"R-US_R0402";"R0402";"R32";"RESISTOR, American symbol";"";"";"";"";"";
"1";"10K";"R-US_R0603";"R0603";"R9";"RESISTOR, American symbol";"";"";"";"";"";
"3";"10n";"C-EUC0603";"C0603";"C16, C18, C21";"CAPACITOR, European symbol";"";"";"";"";"";
"3";"10u";"C-EUC0603";"C0603";"C4, C8, C13";"CAPACITOR, European symbol";"";"";"";"";"";
"3";"1u";"C-EUC0603";"C0603";"C17, C19, C20";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"2.2u";"C-EUC0603";"C0603";"C22";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"219-02";"219-02";"CTS-219-02";"S1";"Surface Mount DIP Switch Series 219 SMT";"";"";"unknown";"unknown";"";
"6";"4.75K";"R-US_R0603";"R0603";"R2, R5, R7, R33, R34, R35";"RESISTOR, American symbol";"";"";"";"";"";
"1";"4.75K, DNI";"R-US_R0603";"R0603";"R4";"RESISTOR, American symbol";"";"";"";"";"";
"2";"4.7u";"C-EUC0603";"C0603";"C5, C12";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"5.6K, 5%";"R-US_R0603";"R0603";"R1, R3";"RESISTOR, American symbol";"";"";"";"";"";
"1";"TCM8230MD";"TCM8230MD";"TCM8230MD";"U$3";"";"";"";"";"";"";
"1";"TPB2,54";"TPB2,54";"B2,54";"TP1";"Test pad";"";"";"";"";"";
